DateTime,TrialStartTime,TimeSinceStart,Date,Day_numrecord,Time,Trial,Treatment,Cline,Cline_seg,Urch_STILL,Urch_MOVING,Urch_WALL,urch_GRAZE,urch_TOUCHKELP,urch_CREVICE,TOTAL_clinesegURCH,Pyc_position,Pyc_moving,Pyc_touching_urch,Pyc_eating_urch,Notes
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,6,L,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,6,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,7,L,1,0,0,0,0,0,1,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,7,R,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,8,L,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,8,R,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,9,L,1,0,0,0,0,0,1,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,9,R,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,10,L,3,0,0,3,0,0,3,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,10,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,11,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,11,R,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,12,L,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 11:07:00,7/07/2023 09:25:00,1:42:00,7/7/23,1_2,11:07,1,Control,12,R,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,1,L,3,0,1,1,0,1,3,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,1,R,2,0,0,0,0,0,2,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,2,L,1,0,0,0,0,0,1,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,2,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,3,L,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,3,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,4,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,4,R,2,0,0,1,0,1,2,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,5,L,0,1,0,1,0,0,1,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,5,R,1,0,0,0,0,0,1,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,6,L,2,0,1,1,0,0,2,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,6,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,7,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,7,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,8,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,8,R,1,0,0,0,0,1,1,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,9,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,9,R,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,10,L,3,0,0,2,0,0,3,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,10,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,11,L,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,11,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,12,L,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 11:13:00,7/07/2023 09:25:00,1:48:00,7/7/23,1_2,11:13,1,Caged 1,12,R,2,0,0,0,0,0,2,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,1,L ,4,0,0,3,0,0,4,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,1,R,1,0,0,0,0,0,1,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,2,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,2,R,2,0,0,0,0,1,2,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,3,L,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,3,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,4,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,4,R,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,5,L,1,0,1,0,0,0,1,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,5,R,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,6,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,6,R,0,0,0,0,0,0,0,1,0,0,0,still
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,7,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,7,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,8,L,3,0,0,3,0,0,3,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,8,R,1,0,1,0,0,0,1,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,9,L,1,0,1,0,0,0,1,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,9,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,10,L,2,0,2,1,0,0,2,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,10,R,1,0,1,0,0,0,1,0,0,0,0,
7/07/2023 11:18:00,7/07/2023 09:25:00,1:53:00,7/7/23,1_2,11:18,1,Active 1,11,L,0,0,0,0,0,0,0,0,0,0,0,
